index,product,category,sub_category,brand,sale_price,market_price,type,rating,description
1,Organic Cold Pressed Virgin Coconut Oil 500ml,Gourmet & World Food,Cooking & Baking Oils,Organic India,399,450,Cold Pressed Oil,4.5,100% pure raw cold pressed virgin coconut oil extracted from fresh coconut milk without heat. Ideal for healthy cooking keto diet skin moisturising and hair care.
2,Aloe Vera Sunscreen Gel SPF 50 100g,Beauty & Hygiene,Skin Care,GreenLeaf,349,399,Sunscreen,4.4,Lightweight oil-free sunscreen gel with pure aloe vera and green tea extract. SPF 50+ broad spectrum UVA/UVB protection suitable for oily and sensitive Indian skin.
3,Neem & Tulsi Purifying Face Wash 150ml,Beauty & Hygiene,Skin Care,Himalaya,199,225,Face Wash,4.3,Soap-free herbal face wash enriched with neem and tulsi to combat pimples excess sebum and bacterial acne. Dermatologically tested. (Out of Stock)
4,Raw Wild Forest Organic Honey 500g,Gourmet & World Food,Jams & Spreads,Dabur Organic,299,350,Organic Honey,4.6,Unpasteurised unprocessed wild forest organic honey packed with natural antioxidants and pollen. Pure natural sweetener for tea and daily immunity.
5,Vitamin C 20% Brightening Face Serum 30ml,Beauty & Hygiene,Skin Care,GreenLeaf,599,699,Face Serum,4.5,High potency Vitamin C serum with hyaluronic acid and ferulic acid. Fades dark spots hyperpigmentation and boosts collagen for radiant glowing skin.
6,Organic Himalayan Green Tea 100 Bags,Beverages,Tea,Twinings,349,425,Green Tea,4.7,Hand-picked organic green tea leaves rich in catechins and polyphenols for metabolism boost and daily detoxification.
7,Pure A2 Cow Ghee Bilona Method 500ml,Dairy & Eggs,Ghee & Butter,Amul Organic,650,750,A2 Ghee,4.8,Traditional bilona churned pure Desi A2 cow ghee. Rich aroma golden texture and natural source of butyric acid and fat-soluble vitamins.
8,Charcoal Detox Deep Cleansing Face Mask 100g,Beauty & Hygiene,Skin Care,GreenLeaf,299,349,Face Mask,4.4,Activated bamboo charcoal clay mask with kaolin clay and tea tree oil. Deep pore cleansing unclogs blackheads and controls oily shine.
9,Organic Rolled Oats Gluten-Free 1kg,Breakfast & Dairy,Cereals & Oats,True Elements,280,330,Rolled Oats,4.6,100% whole grain rolled oats high in soluble fiber beta-glucan. Great for weight management cholesterol control and overnight oatmeal.
10,California Raw Almonds Badam Giri 500g,Snacks & Branded Foods,Dry Fruits & Nuts,Happilo,420,550,Almonds,4.7,Premium crunchy California almonds packed with protein Vitamin E and dietary fiber. Heart-healthy daily brain food snack.
11,Organic Chia Seeds Raw & Pure 250g,Gourmet & World Food,Superfoods,Nutty Gritties,199,260,Chia Seeds,4.5,Nutrient-dense raw black chia seeds packed with Omega-3 fatty acids plant protein and dietary fiber for smoothies and weight loss.
12,Argan & Rosemary Hair Growth Serum 100ml,Beauty & Hygiene,Hair Care,GreenLeaf,499,599,Hair Serum,4.3,Enriched with Moroccan argan oil rosemary essential oil and Vitamin E. Controls frizz strengthens hair follicles and promotes scalp health.
13,Organic Turmeric Curcumin Powder 250g,Foodgrains & Masala,Organic Spices,24 Mantra,120,150,Organic Turmeric,4.6,High curcumin organically certified turmeric haldi powder without artificial colorants or chemical polishing. Anti-inflammatory powerhouse.
14,Roasted Salted Makhana Fox Nuts 150g,Snacks & Branded Foods,Namkeen & Snacks,Farmley,180,225,Makhana,4.4,Crispy slow roasted fox nuts makhana seasoned with Himalayan pink salt. Low calorie gluten-free healthy evening snack.
15,Herbal Ashwagandha Stress Relief Powder 100g,Health & Wellness,Ayurvedic,Baidyanath,220,275,Ayurvedic Herb,4.5,Pure root extract Ashwagandha withanolides for natural stress reduction energy stamina and deep sleep support.
16,100% Pure Moroccan Rose Water Mist 200ml,Beauty & Hygiene,Skin Care,Kama Herbal,250,300,Face Mist,4.7,Hydro-distilled pure rose water face toner. Calms redness balances skin pH and tightens pores naturally.
17,Organic Kachi Ghani Mustard Oil 1L,Foodgrains & Masala,Edible Oils,Fortune Organic,210,240,Mustard Oil,4.6,Cold pressed kachi ghani sarson tel with strong pungency and high smoke point. Ideal for traditional Indian curries and pickle making.
18,Natural Crunchy Peanut Butter Sugar-Free 1kg,Breakfast & Dairy,Spreads,Pintola,380,450,Peanut Butter,4.8,100% roasted peanuts with zero added sugar zero hydrogenated oil and 30g protein per 100g. Fitness enthusiast staple.
19,Organic Royal Basmati Rice Long Grain 1kg,Foodgrains & Masala,Rice,India Gate Organic,195,230,Basmati Rice,4.5,Naturally aged extra long aromatic organic basmati rice grains for biryani and pulao.
20,Chyawanprash Special Immunity Booster 500g,Health & Wellness,Ayurvedic,Dabur,240,290,Immunity Booster,4.6,Time-tested Ayurvedic formulation with 40+ herbs including Amla Giloy Pippali for respiratory health and family immunity.
